title,keywords,release_date,overall_summary,structure,methodology,example,abstract,arxiv
From Code to Play: Benchmarking Program Search for Games Using Large Language Models,"program synthesis, game AI, Python, Java, evolutionary search",2024-12,"This paper explores the potential of using large language models (LLMs) to directly synthesize usable code for a wide range of gaming applications in Python and Java. An evolutionary hill-climbing algorithm is used, where LLMs generate and refine the initial programs and mutations.",1. Introduction 2. Related Work 3. Framework Description 4. Large Language Models Used 5. Game Applications 5.1. Programmatic Policies: Minatar (Python) 5.2. Baba is You (Python) 5.3. Vehicle Driving (Python) 5.4. Maze Generation (Python) 5.5. Tabletop Games (Java) 6. Experiments and Results 7. Discussion 8. Conclusion,"['An evolutionary hill-climbing algorithm is used to search for programs', 'LLMs generate initial programs and perform mutations based on prompts', 'Programs are executed and evaluated in a subprocess environment', 'Prompts are updated based on program execution results to refine the programs', 'Process iterates until evaluation criteria are met or maximum attempts reached']","For the Seaquest game in Minatar, the LLM is prompted to generate a Python function that controls a submarine to save divers while shooting enemies. The function is executed, and the resulting score/reward is used to update the prompt. The LLM then refines the function based on this feedback. This process continues until a satisfactory strategy emerges or the maximum attempts are exhausted.","Large language models (LLMs) have shown impressive capabilities in generating
program code, opening exciting opportunities for applying program synthesis to
games. In this work, we explore the potential of LLMs to directly synthesize
usable code for a wide range of gaming applications, focusing on two
programming languages, Python and Java. We use an evolutionary hill-climbing
algorithm, where the mutations and seeds of the initial programs are controlled
by LLMs. For Python, the framework covers various game-related tasks, including
five miniature versions of Atari games, ten levels of Baba is You, an
environment inspired by Asteroids, and a maze generation task. For Java, the
framework contains 12 games from the TAG tabletop games framework. Across 29
tasks, we evaluated 12 language models for Python and 8 for Java. Our findings
suggest that the performance of LLMs depends more on the task than on model
size. While larger models generate more executable programs, these do not
always result in higher-quality solutions but are much more expensive. No model
has a clear advantage, although on any specific task, one model may be better.
Trying many models on a problem and using the best results across them is more
reliable than using just one.",http://arxiv.org/abs/2412.04057v1
Isotropy Matters: Soft-ZCA Whitening of Embeddings for Semantic Code Search,"Isotropy, Code Search, Embedding Whitening, ZCA Whitening, Soft-ZCA",2024-11,"The paper investigates the impact of isotropy (uniform distribution of vectors) in embedding spaces on semantic code search performance. It proposes Soft-ZCA, a modified ZCA whitening technique to control isotropy levels, and demonstrates improved code search results across multiple programming languages.","1. Introduction (motivation and background) 2. Whitening of Embeddings (technical details of ZCA whitening and Soft-ZCA) 3. Experimental Apparatus (datasets, models, procedure) 4. Results (analysis of isotropy, ranking performance, impact of Soft-ZCA) 5. Conclusion 6. Appendix (additional experiments and details)","['- Analyze isotropy of embedding spaces in CodeBERT, CodeT5+, and Code Llama models using IsoScore metric', '- Introduce Soft-ZCA, an extension of ZCA whitening with an eigenvalue regularizer to control whitening degree', '- Fine-tune CodeBERT on code-comment pairs with contrastive loss', '- Apply Soft-ZCA whitening to embeddings and evaluate on code search task using MRR']","For the Python dataset, applying Soft-ZCA whitening with epsilon=0.0001 to the fine-tuned CodeBERT model increased the IsoScore from 0.555 (code) / 0.381 (comment) to 0.998 for both. This near-perfect isotropy resulted in an MRR improvement of +0.062 over the non-whitened embeddings.","Low isotropy in an embedding space impairs performance on tasks involving
semantic inference. Our study investigates the impact of isotropy on semantic
code search performance and explores post-processing techniques to mitigate
this issue. We analyze various code language models, examine isotropy in their
embedding spaces, and its influence on search effectiveness. We propose a
modified ZCA whitening technique to control isotropy levels in embeddings. Our
results demonstrate that Soft-ZCA whitening improves the performance of
pre-trained code language models and can complement contrastive fine-tuning.",http://arxiv.org/abs/2411.17538v2
Fault Localization from the Semantic Code Search Perspective,"semantic code search, fault localization, large language models, multi-granularity analysis, software knowledge base",2024-11,"This paper proposes CosFL, a novel approach to fault localization that treats it as a semantic code search problem. By leveraging large language models and constructing a multi-granularity software knowledge base, CosFL generates natural language queries describing buggy functionalities and retrieves semantically related code for locating faults.","{'1. Introduction': 'Motivates the idea of using code search for fault localization and outlines the main challenges.', '2. Motivation': 'Provides a case study illustrating how CosFL localizes a real bug from a code search perspective.', '3. Approach': 'Describes the two main components: software knowledge base construction and the query generation + fault retrieval pipeline.', '4. Implementation': 'Details on implementing the different components of CosFL.', '5. Experimental Setup': 'Describes the benchmarks, baselines, evaluation metrics used.', '6. Results and Analysis': 'Presents quantitative results, ablation studies, case studies comparing to baselines.', '7. Discussion': 'Discusses implications, limitations and future work.', '8. Related Work': 'Surveys related work in fault localization and code search.'}","['- Construct a multi-granularity software knowledge base by static/dynamic analysis and LLM comprehension', '- Use LLM to generate natural language queries describing buggy functionalities at different granularities', '- Retrieve code semantically related to the queries using multi-granularity code search', '- Employ a voting mechanism to pinpoint the final fault localization results']","For a bug in the Closure compiler where function arguments were incorrectly removed, CosFL generates the query 'not correctly handling the parameters of nested functions' and successfully retrieves the removeUnreferencedFunctionArgs method as the top result.","The software development process is characterized by an iterative cycle of
continuous functionality implementation and debugging, essential for the
enhancement of software quality and adaptability to changing requirements. This
process incorporates two isolatedly studied tasks: Code Search (CS), which
retrieves reference code from a code corpus to aid in code implementation, and
Fault Localization (FL), which identifies code entities responsible for bugs
within the software project to boost software debugging. These two tasks
exhibit similarities since they both address search problems. Notably, CS
techniques have demonstrated greater effectiveness than FL ones, possibly
because of the precise semantic details of the required code offered by natural
language queries, which are not readily accessible to FL methods. Drawing
inspiration from this, we hypothesize that a fault localizer could achieve
greater proficiency if semantic information about the buggy methods were made
available. Based on this idea, we propose CosFL, an FL approach that decomposes
the FL task into two steps: query generation, which describes the functionality
of the problematic code in natural language, and fault retrieval, which uses CS
to find program elements semantically related to the query. Specifically, to
depict the buggy functionalities and generate high-quality queries, CosFL
extensively harnesses the code analysis, semantic comprehension, and
decision-making capabilities of LLMs. Moreover, to enhance the accuracy of CS,
CosFL captures varying levels of context information and employs a
multi-granularity code search strategy, which facilitates a more precise
identification of buggy methods from a holistic view. The evaluation on 835
real bugs from 23 Java projects shows that CosFL successfully localizes 324
bugs within Top-1, which significantly outperforms the state-of-the-art
approaches by 26.6%-57.3%.",http://arxiv.org/abs/2411.17230v1
CodeXEmbed: A Generalist Embedding Model Family for Multiligual and Multi-task Code Retrieval,"code retrieval, multimodal embeddings, unified training, programming languages, code-related tasks",2024-11,"This paper introduces CodeXEmbed, a family of large-scale embedding models tailored for code and text retrieval across multiple programming languages and code-related tasks. The unified training approach achieves state-of-the-art performance on code retrieval benchmarks.","1. Introduction (motivation and background)
2. Method (training approach, retrieval settings)
3. Experiments (benchmarks, implementation details, results)
4. Conclusion","['Unified training framework that converts diverse code tasks into retrieval problems (text-to-code, code-to-text, code-to-code, hybrid)', 'Contrastive loss to maximize similarity between query and correct answer while minimizing similarity to negative samples', 'Models trained on code/text data ranging from 400M to 7B parameters']","For the code-to-text retrieval setting, the task of code summarization is used as an example. Given a code file or repository as input, the goal is to retrieve a concise textual summary describing the code's functionality.","Despite the success of text retrieval in many NLP tasks, code retrieval
remains a largely underexplored area. Most text retrieval systems are tailored
for natural language queries, often neglecting the specific challenges of
retrieving code. This gap leaves existing models unable to effectively capture
the diversity of programming languages and tasks across different domains,
highlighting the need for more focused research in code retrieval. To address
this, we introduce CodeXEmbed, a family of large-scale code embedding models
ranging from 400M to 7B parameters. Our novel training pipeline unifies
multiple programming languages and transforms various code-related tasks into a
common retrieval framework, enhancing model generalizability and retrieval
performance. Our 7B model sets a new state-of-the-art (SOTA) in code retrieval,
outperforming the previous leading model, Voyage-Code, by over 20% on CoIR
benchmark. In addition to excelling in code retrieval, our models demonstrate
competitive performance on the widely adopted BeIR text retrieval benchmark,
offering versatility across domains. Experimental results demonstrate that
improving retrieval performance significantly enhances end-to-end
Retrieval-Augmented Generation (RAG) performance for code-related tasks.",http://arxiv.org/abs/2411.12644v2
SRA-MCTS: Self-driven Reasoning Augmentation with Monte Carlo Tree Search for Code Generation,"self-driven reasoning, monte carlo tree search, code generation, data augmentation, chain-of-thought",2024-11,"The paper proposes SRA-MCTS, a self-driven reasoning augmentation method that guides language models to autonomously generate high-quality reasoning paths for complex code generation tasks. By synthesizing natural language plans and translating them to code, SRA-MCTS improves performance without additional supervision.","1. Introduction - Motivation and background
2. Related Work - Prior approaches like data distillation, chain-of-thought
3. Method - SRA-MCTS algorithm details
4. Experiments - Setup, baselines, datasets, evaluation
5. Results and Analysis","['Use Monte Carlo Tree Search (MCTS) to guide an LLM to generate diverse reasoning plans in natural language for code problems', 'Evaluate and select high-quality plans based on correctness, completeness and coherence scores from the LLM itself', 'Use the LLM to translate the selected reasoning plans into executable code', 'Fine-tune the LLM on the generated (problem, reasoning plan, code) triples']","For the LeetCode problem 'Longest Palindromic Substring', SRA-MCTS may generate a reasoning plan like:
1. Iterate through the string to find potential palindromes
2. For each potential palindrome, check if it is a valid palindrome
3. Keep track of the longest valid palindrome found
4. Return the longest palindrome
The LLM then converts this into Python code based on the reasoning plan.","Large language models demonstrate exceptional performance in simple code
generation tasks but still face challenges in tackling complex problems. These
challenges may stem from insufficient reasoning and problem decomposition
capabilities. To address this issue, we propose a reasoning-augmented data
generation process, SRA-MCTS, which guides the model to autonomously generate
high-quality intermediate reasoning paths. This creates a positive feedback
loop, enabling continuous improvement. Our method operates entirely through the
model itself without requiring additional supervision. By synthesizing natural
language reasoning paths and translating them into executable code, the
approach ensures analytical accuracy and enhances the success rate in solving
complex tasks. Experimental results show that, even without additional
supervisory signals, our method achieves performance improvements across
different model scales, demonstrating the significant potential of
self-improvement in small models. Furthermore, the method remains robust when
traditional Chain-of-Thought (CoT) approaches exhibit performance degradation,
with notable improvements observed in diversity metrics such as pass@10. We
encourage further exploration of reasoning processes within training data to
enhance the ability of language models to address complex problems. Our code
and data are public at https://github.com/DIRECT-BIT/SRA-MCTS.",http://arxiv.org/abs/2411.11053v4
Searching Latent Program Spaces,"latent program space, gradient-based search, program induction, test-time adaptation, ARC-AGI benchmark",2024-11,"This paper introduces the Latent Program Network (LPN), a neural architecture that learns a continuous latent space representing programs. LPN enables efficient search and test-time adaptation in this latent space to solve program synthesis tasks, outperforming methods without such adaptation on the challenging ARC-AGI benchmark.","1. Introduction - Motivation and background on program synthesis 2. Related Work - Existing symbolic, neural, and neuro-symbolic approaches 3. Background - Formal problem definition 4. Latent Program Network - Proposed model architecture and training 5. Experiments - Evaluation on ARC-AGI and ablation studies 6. Conclusion","['Learn a continuous latent space encoding programs using a variational autoencoder framework', 'Train encoder to map input-output pairs to latent codes, and decoder to execute latent codes on new inputs', 'Novel training objective prevents encoding outputs directly in latent space', 'Perform gradient-based search in latent space during training and inference to find program best explaining specification', 'Use test-time adaptation by optimizing latent code to solve new tasks']","For an ARC-AGI task with specification showing how to draw a line segment, LPN would: 1) Encode the line drawing examples to a latent code 2) Optimize this code to best reconstruct the line outputs 3) Execute the optimized code on a new input to predict how to extend the line segment","Program synthesis methods aim to automatically generate programs restricted
to a language that can explain a given specification of input-output pairs.
While purely symbolic approaches suffer from a combinatorial search space,
recent methods leverage neural networks to learn distributions over program
structures to narrow this search space significantly, enabling more efficient
search. However, for challenging problems, it remains difficult to train models
to perform program synthesis in one shot, making test-time search essential.
Most neural methods lack structured search mechanisms during inference, relying
instead on stochastic sampling or gradient updates, which can be inefficient.
In this work, we propose the Latent Program Network (LPN), a general algorithm
for program induction that learns a distribution over latent programs in a
continuous space, enabling efficient search and test-time adaptation. We
explore how to train these networks to optimize for test-time computation and
demonstrate the use of gradient-based search both during training and at test
time. We evaluate LPN on ARC-AGI, a program synthesis benchmark that evaluates
performance by generalizing programs to new inputs rather than explaining the
underlying specification. We show that LPN can generalize beyond its training
distribution and adapt to unseen tasks by utilizing test-time computation,
outperforming algorithms without test-time adaptation mechanisms.",http://arxiv.org/abs/2411.08706v1
Automatically Write Code Checker: An LLM-based Approach with Logic-guided API Retrieval and Case by Case Iteration,"iterative test-driven checker generation, logic-guided API retrieval, static code analysis, large language model, automated code generation",2024-11,"This paper proposes AutoChecker, an approach that leverages large language models to automatically generate static code checkers based on a rule description and test suite. It uses an iterative generation process guided by individual test cases to handle complex checking logic, and employs logic-guided API retrieval to provide relevant API knowledge for the code generation.",1. Introduction 2. Background and Motivation 3. Methodology 3.1 Overview 3.2 API-Context Retriever 3.3 Checker Generator 3.3.1 Initial Checker Generation 3.3.2 Iterative Checker Generation 4. Experimental Setup 5. Experimental Results 5.1 Effectiveness Evaluation 5.2 Practicality Evaluation 6. Discussion 7. Related Work 8. Conclusion,"['- Iterative test-driven checker generation to handle complex logic by updating the checker with one test case at a time', '- Logic-guided API retrieval to extract relevant API contexts for each sub-operation in the checking logic', '- Construction of a Meta-Op database containing 354 atomic checking operations to guide API retrieval', '- Use of an initial checker generator and an iterative checker generator leveraging the retrieved API contexts']","For the PMD rule 'AssignmentToNonFinalStaticRule', AutoChecker generates a checker that visits all assignment expressions within constructors and checks if the assigned identifier is a static and non-final field. It retrieves relevant APIs like ASTVariableAccess, ASTFieldAccess, and methods to check symbol properties, enabling correct implementation of the logic.","With the rising demand for code quality assurance, developers are not only
utilizing existing static code checkers but also seeking custom checkers to
satisfy their specific needs. Nowadays, various code-checking frameworks
provide extensive checker customization interfaces to meet this need. However,
both the abstract checking logic as well as the complex API usage of
large-scale frameworks make this task challenging. To this end, automated code
checker generation is anticipated to ease the burden of checker development. In
this paper, we explore the feasibility of automated checker generation and
propose AutoChecker, an innovative LLM-powered approach that can write code
checkers automatically based on only a rule description and a test suite.
Instead of generating the checker at once, AutoChecker incrementally updates
the checker with the rule and one single test case each time, i.e., it
iteratively generates the checker case by case. During each iteration,
AutoChecker first decomposes the whole logic into a series of sub-operations
and then uses the logic-guided API-context retrieval strategy to search related
API-contexts from all the framework APIs. To evaluate the effectiveness of
AutoChecker, we apply AutoChecker and two LLM-based baseline approaches to
automatically generate checkers for 20 built-in PMD rules, including easy rules
and hard rules. Experimental results demonstrate that AutoChecker significantly
outperforms baseline approaches across all effectiveness metrics, where its
average test pass rate improved over 4.2 times. Moreover, the checkers
generated by AutoChecker are successfully applied to real-world projects,
matching the performance of official checkers.",http://arxiv.org/abs/2411.06796v1
Assessing the Answerability of Queries in Retrieval-Augmented Code Generation,"answerability assessment, retrieval-augmented code generation, hallucination mitigation, benchmark dataset, few-shot learning",2024-11,"This paper proposes a new task of assessing the answerability of queries in retrieval-augmented code generation (RaCG) systems, where a language model generates code based on a user query and retrieved API documentation. It introduces a benchmark dataset called RaCGEval to evaluate models on this task.",1. Introduction 2. Constructing the RaCGEval Benchmark Dataset 2.1 Task description 2.2 API documentation 2.3 Generating partially answerable and unanswerable samples 2.4 Annotation 3. Methods for Assessing Answerability 3.1 Zero-shot inference on instruction-following LLMs 3.2 Fine-tuning LLMs with automatically generated training datasets 4. Experiments 4.1 Experimental settings 4.2 Experimental results 5. Discussion 5.1 In-context learning for domain adaptation 5.2 Trade-off between coverage and precision 6. Conclusion,"['Use private/modified API documentation datasets to avoid prior knowledge in language models', 'Generate partially answerable and unanswerable samples by substituting gold APIs, concatenating unrelated queries, or using out-of-database queries', 'Annotate samples using multiple experts to ensure reliability', 'Evaluate zero-shot inference on instruction-tuned LLMs', 'Fine-tune LLMs on automatically generated training data using CoNaLa dataset', 'Explore in-context learning for domain adaptation', 'Analyze trade-off between coverage and precision of code generation']","For the query 'How to create a web page using NetsPresso API?' and retrieved NetsPresso API documentation on model optimization, the language model may generate plausible but incorrect code, since web page creation is out of scope for this API. The system should identify this query as unanswerable based on the retrieved documentation.","Thanks to unprecedented language understanding and generation capabilities of
large language model (LLM), Retrieval-augmented Code Generation (RaCG) has
recently been widely utilized among software developers. While this has
increased productivity, there are still frequent instances of incorrect codes
being provided. In particular, there are cases where plausible yet incorrect
codes are generated for queries from users that cannot be answered with the
given queries and API descriptions. This study proposes a task for evaluating
answerability, which assesses whether valid answers can be generated based on
users' queries and retrieved APIs in RaCG. Additionally, we build a benchmark
dataset called Retrieval-augmented Code Generability Evaluation (RaCGEval) to
evaluate the performance of models performing this task. Experimental results
show that this task remains at a very challenging level, with baseline models
exhibiting a low performance of 46.7%. Furthermore, this study discusses
methods that could significantly improve performance.",http://arxiv.org/abs/2411.05547v2
RetrieveGPT: Merging Prompts and Mathematical Models for Enhanced Code-Mixed Information Retrieval,"Code-mixing, Roman transliteration, Bengali language, Prompting, Sequential relevance",2024-11,This paper presents a novel approach to extract relevant information from code-mixed conversations in Roman transliterated Bengali mixed with English. It leverages GPT-3.5 Turbo via prompting and integrates the model's outputs into a mathematical model that accounts for sequential dependencies among documents.,"1. Introduction, 2. Related Work, 3. Dataset, 4. Task Definition, 5. Methodology (5.1 Why Prompting?, 5.2 Merging Prompt and Mathematical Model-Based Approaches), 6. Results, 7. Conclusion","['Used GPT-3.5 Turbo model via prompting to obtain relevance scores for documents given a query', 'Designed a mathematical model that incorporates sequential dependencies among documents to refine relevance probabilities', 'If previous document is relevant and current score >= 0.3, probability = 0.2 + current score', 'If previous document is relevant and current score < 0.3, probability = current score', 'Considered documents with probability > 0.5 as relevant to the query']","For the query 'Where can I find good Bengali food in Delhi?', the system would analyze a sequence of documents from a Facebook group like 'Bengali in Delhi'. It would use GPT-3.5's understanding of the query and each document to get relevance scores. The mathematical model would then boost the scores for documents that follow a relevant one in the sequence. Highly scored documents recommending Bengali restaurants would be retrieved as the most relevant results.","Code-mixing, the integration of lexical and grammatical elements from
multiple languages within a single sentence, is a widespread linguistic
phenomenon, particularly prevalent in multilingual societies. In India, social
media users frequently engage in code-mixed conversations using the Roman
script, especially among migrant communities who form online groups to share
relevant local information. This paper focuses on the challenges of extracting
relevant information from code-mixed conversations, specifically within Roman
transliterated Bengali mixed with English. This study presents a novel approach
to address these challenges by developing a mechanism to automatically identify
the most relevant answers from code-mixed conversations. We have experimented
with a dataset comprising of queries and documents from Facebook, and Query
Relevance files (QRels) to aid in this task. Our results demonstrate the
effectiveness of our approach in extracting pertinent information from complex,
code-mixed digital conversations, contributing to the broader field of natural
language processing in multilingual and informal text environments. We use
GPT-3.5 Turbo via prompting alongwith using the sequential nature of relevant
documents to frame a mathematical model which helps to detect relevant
documents corresponding to a query.",http://arxiv.org/abs/2411.04752v1
CodeTree: Agent-guided Tree Search for Code Generation with Large Language Models,"tree-based code generation, multi-agent collaboration, strategy exploration, code refinement, execution feedback",2024-11,"The paper proposes CodeTree, a framework that uses multiple collaborating language model agents to efficiently explore the search space for code generation through a tree-based structure. Agents generate coding strategies, initial solutions, refinements, and evaluations, guided by execution feedback and critic scoring to find optimal code.","1. Introduction 2. Related Work 3. Method: 3.1 Coding Task Agents (Thinker, Solver, Debugger), 3.2 Tree Expanding with Critic Agent, 3.3 Multi-Agent Collaboration, 3.4 Training 4. Experiments 5. Results 6. Analysis 7. Conclusion","['Define Thinker, Solver, Debugger agents for strategy generation, initial coding, refinement', 'Build tree with root as problem, nodes as candidate solutions', 'Critic agent scores nodes based on execution feedback and strategy match', 'Critic expands tree by refining, aborting or accepting nodes based on scores', 'Agents collaborate, passing intermediate solutions and getting critic feedback']","For the problem of 'reversing a string', the Thinker may generate strategies like 'use slicing' or 'convert to list'. The Solver generates initial code attempts for each strategy. The Debugger refines code with Critic feedback on test cases. The tree expands promising nodes until an acceptable solution is found.","Pre-trained on massive amounts of code and text data, large language models
(LLMs) have demonstrated remarkable achievements in performing code generation
tasks. With additional execution-based feedback, these models can act as agents
with capabilities to self-refine and improve generated code autonomously.
However, on challenging coding tasks with extremely large search space, current
agentic approaches still struggle with multi-stage planning, generating, and
debugging. To address this problem, we propose CodeTree, a framework for LLM
agents to efficiently explore the search space in different stages of the code
generation process. Specifically, we adopted a unified tree structure to
explicitly explore different coding strategies, generate corresponding coding
solutions, and subsequently refine the solutions. In each stage, critical
decision-making (ranking, termination, expanding) of the exploration process is
guided by both the environmental execution-based feedback and
LLM-agent-generated feedback. We comprehensively evaluated CodeTree on 7 code
generation benchmarks and demonstrated the significant performance gains of
CodeTree against strong baselines. Using GPT-4o as the base model, we
consistently achieved top results of 95.1 on HumanEval, 98.7 on MBPP, and 43.0
on CodeContests. On the challenging SWEBench benchmark, our approach led to
significant performance gains.",http://arxiv.org/abs/2411.04329v2
